Category,Recall@1,Recall@5,Recall@10,MRR,Avg_Confidence_Gap,Std_Confidence_Gap,P95_Confidence_Gap,Queries
AI Plagiarism (MusicGen),1.0,1.0,1.0,1.0,0.0,0.0,0.0,13409
musicgen,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchD2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchD4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchD4_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchU2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchU4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_pitchU4_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_tempo090,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_tempo095,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_tempo105,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
musicgen_tempo110,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1219
Human Plagiarism (SMP),1.0,1.0,1.0,1.0,0.032635209912603554,0.06719385264375537,0.0923439562320709,616
OVERALL,1.0,1.0,1.0,1.0,0.0014333896118476853,0.01558944691176388,0.0,14025
